Party,outdegree friends,indegree friends,outdegree retweets,indegree retweets,outdegree atmentions,indegree atmentions
VVD,42.875,42.1875,5.90625,5.9375,6.1875,5.84375
CDA,39.473684210526315,38.473684210526315,6.578947368421052,6.631578947368421,6.368421052631579,8.157894736842104
D66,42.68421052631579,38.526315789473685,10.473684210526315,10.789473684210526,11.31578947368421,10.052631578947368
PVV,19.055555555555557,23.27777777777778,8.61111111111111,8.222222222222221,2.7777777777777777,2.7222222222222223
GroenLinks,37.714285714285715,37.642857142857146,8.071428571428571,7.428571428571429,10.642857142857142,10.071428571428571
SP,29.857142857142858,34.857142857142854,6.928571428571429,7.571428571428571,10.285714285714286,8.928571428571429
PvdA,33.22222222222222,44.888888888888886,3.5555555555555554,5,7.222222222222222,9.777777777777779
CU,33.4,43.8,4.6,5,6.8,7.6
PvdDieren,53.2,28.8,5.8,4.6,8.8,5.8
50Plus,16,19,1.25,2,3.25,5.25
DENK,28,21.666666666666668,3.3333333333333335,2.6666666666666665,3.6666666666666665,3
SGP,93.33333333333333,59.333333333333336,5.333333333333333,2.6666666666666665,4.666666666666667,9.333333333333334
FvD,3.5,28,3,1.5,3.5,2
